﻿ClusterId,Latitude,Longitude
2,7.19357615,39.19800918
4,7.542189312,39.2626937
7,7.871920597,39.04199972
9,7.40329651,39.40438618
10,7.531603651,38.96287785
11,7.644799018,39.21524847
12,7.358613872,39.29409679
13,7.638917643,39.4503673
14,7.71242491,39.02382663
15,7.354071508,39.02307439
16,7.585656721,39.53341402
20,7.18012535,39.30369663
21,7.833223867,39.17304322
22,7.494035284,39.13308587
24,7.55535878,39.14770253
25,7.30864236,39.36398278
27,7.492393522,39.39913513
28,7.746275263,39.31328325
29,7.652760097,39.61469598
30,7.454407261,39.30231665
32,7.658427453,39.2902543
33,7.619070631,38.99265643
34,7.741532054,39.23955076
35,7.422414024,39.48108577
36,7.70783907,39.47583151
37,7.323888987,39.45679268
38,7.273688439,39.10606907
40,7.656705237,39.54640115
41,7.507574238,39.49246547
42,7.834341919,39.27338236
43,7.727638487,38.9612126
44,7.731269846,39.14955448
45,7.572672427,39.61153132
46,7.263373898,39.28117376
48,7.539673136,39.05824918
49,7.476322742,39.00092321
50,7.787526954,39.07013146
51,7.569104895,39.42397284
52,7.4624653,39.59739957
54,7.629308606,39.10934985
55,7.924779741,39.13005088
56,7.429214553,39.22761869
57,7.20572303,39.40510518
58,7.431651542,39.07762908
59,7.310637264,39.20400159
100,7.538002472,39.2580316
