Coordinates,Customer_demands,Earliest_service_time,Latest_service_time,Service_time,Vehicle_capacity
"(40.0, 50.0)",[0.0],[0.0],[1236.0],0.0,200.0
"(45.0, 68.0)",[10.0],[760.0],[1120.0],90.0,
"(45.0, 70.0)",[30.0],[668.0],[1028.0],90.0,
"(42.0, 66.0)",[10.0],[16.0],[376.0],90.0,
"(42.0, 68.0)",[10.0],[575.0],[935.0],90.0,
"(42.0, 65.0)",[10.0],[15.0],[375.0],90.0,
"(40.0, 69.0)",[20.0],[482.0],[842.0],90.0,
"(40.0, 66.0)",[20.0],[18.0],[378.0],90.0,
"(38.0, 68.0)",[20.0],[110.0],[470.0],90.0,
"(38.0, 70.0)",[10.0],[390.0],[750.0],90.0,
"(35.0, 66.0)",[10.0],[204.0],[564.0],90.0,
"(35.0, 69.0)",[10.0],[297.0],[657.0],90.0,
"(25.0, 85.0)",[20.0],[507.0],[867.0],90.0,
"(22.0, 75.0)",[30.0],[30.0],[390.0],90.0,
"(22.0, 85.0)",[10.0],[414.0],[774.0],90.0,
"(20.0, 80.0)",[40.0],[227.0],[587.0],90.0,
"(20.0, 85.0)",[40.0],[322.0],[682.0],90.0,
"(18.0, 75.0)",[20.0],[33.0],[393.0],90.0,
"(15.0, 75.0)",[20.0],[37.0],[397.0],90.0,
"(15.0, 80.0)",[10.0],[132.0],[492.0],90.0,
"(30.0, 50.0)",[10.0],[10.0],[370.0],90.0,
"(30.0, 52.0)",[20.0],[760.0],[1120.0],90.0,
"(28.0, 52.0)",[20.0],[668.0],[1028.0],90.0,
"(28.0, 55.0)",[10.0],[575.0],[935.0],90.0,
"(25.0, 50.0)",[10.0],[15.0],[375.0],90.0,
"(25.0, 52.0)",[40.0],[17.0],[377.0],90.0,
"(25.0, 55.0)",[10.0],[482.0],[842.0],90.0,
"(23.0, 52.0)",[10.0],[109.0],[469.0],90.0,
"(23.0, 55.0)",[20.0],[390.0],[750.0],90.0,
"(20.0, 50.0)",[10.0],[202.0],[562.0],90.0,
"(20.0, 55.0)",[10.0],[297.0],[657.0],90.0,
"(10.0, 35.0)",[20.0],[39.0],[399.0],90.0,
"(10.0, 40.0)",[30.0],[31.0],[391.0],90.0,
"(8.0, 40.0)",[40.0],[33.0],[393.0],90.0,
"(8.0, 45.0)",[20.0],[604.0],[964.0],90.0,
"(5.0, 35.0)",[10.0],[134.0],[494.0],90.0,
"(5.0, 45.0)",[10.0],[511.0],[871.0],90.0,
"(2.0, 40.0)",[20.0],[229.0],[589.0],90.0,
"(0.0, 40.0)",[30.0],[321.0],[681.0],90.0,
"(0.0, 45.0)",[20.0],[416.0],[776.0],90.0,
"(35.0, 30.0)",[10.0],[113.0],[473.0],90.0,
"(35.0, 32.0)",[10.0],[21.0],[381.0],90.0,
"(33.0, 32.0)",[20.0],[19.0],[379.0],90.0,
"(33.0, 35.0)",[10.0],[16.0],[376.0],90.0,
"(32.0, 30.0)",[10.0],[206.0],[566.0],90.0,
"(30.0, 30.0)",[10.0],[391.0],[751.0],90.0,
"(30.0, 32.0)",[30.0],[299.0],[659.0],90.0,
"(30.0, 35.0)",[10.0],[767.0],[1127.0],90.0,
"(28.0, 30.0)",[10.0],[483.0],[843.0],90.0,
"(28.0, 35.0)",[10.0],[766.0],[1126.0],90.0,
"(26.0, 32.0)",[10.0],[668.0],[1028.0],90.0,
"(25.0, 30.0)",[10.0],[576.0],[936.0],90.0,
"(25.0, 35.0)",[10.0],[761.0],[1121.0],90.0,
"(44.0, 5.0)",[20.0],[137.0],[497.0],90.0,
"(42.0, 10.0)",[40.0],[42.0],[402.0],90.0,
"(42.0, 15.0)",[10.0],[35.0],[395.0],90.0,
"(40.0, 5.0)",[30.0],[231.0],[591.0],90.0,
"(40.0, 15.0)",[40.0],[35.0],[395.0],90.0,
"(38.0, 5.0)",[30.0],[323.0],[683.0],90.0,
"(38.0, 15.0)",[10.0],[516.0],[876.0],90.0,
"(35.0, 5.0)",[20.0],[416.0],[776.0],90.0,
"(50.0, 30.0)",[10.0],[391.0],[751.0],90.0,
"(50.0, 35.0)",[20.0],[110.0],[470.0],90.0,
"(50.0, 40.0)",[50.0],[15.0],[375.0],90.0,
"(48.0, 30.0)",[10.0],[483.0],[843.0],90.0,
"(48.0, 40.0)",[10.0],[12.0],[372.0],90.0,
"(47.0, 35.0)",[10.0],[671.0],[1031.0],90.0,
"(47.0, 40.0)",[10.0],[12.0],[372.0],90.0,
"(45.0, 30.0)",[10.0],[576.0],[936.0],90.0,
"(45.0, 35.0)",[10.0],[763.0],[1123.0],90.0,
"(95.0, 30.0)",[30.0],[242.0],[602.0],90.0,
"(95.0, 35.0)",[20.0],[147.0],[507.0],90.0,
"(53.0, 30.0)",[10.0],[298.0],[658.0],90.0,
"(92.0, 30.0)",[10.0],[335.0],[695.0],90.0,
"(53.0, 35.0)",[50.0],[203.0],[563.0],90.0,
"(45.0, 65.0)",[20.0],[770.0],[1130.0],90.0,
"(90.0, 35.0)",[10.0],[52.0],[412.0],90.0,
"(88.0, 30.0)",[10.0],[429.0],[789.0],90.0,
"(88.0, 35.0)",[20.0],[50.0],[410.0],90.0,
"(87.0, 30.0)",[10.0],[520.0],[880.0],90.0,
"(85.0, 25.0)",[10.0],[615.0],[975.0],90.0,
"(85.0, 35.0)",[30.0],[47.0],[407.0],90.0,
"(75.0, 55.0)",[20.0],[215.0],[575.0],90.0,
"(72.0, 55.0)",[10.0],[122.0],[482.0],90.0,
"(70.0, 58.0)",[20.0],[311.0],[671.0],90.0,
"(68.0, 60.0)",[30.0],[404.0],[764.0],90.0,
"(66.0, 55.0)",[10.0],[26.0],[386.0],90.0,
"(65.0, 55.0)",[20.0],[25.0],[385.0],90.0,
"(65.0, 60.0)",[30.0],[497.0],[857.0],90.0,
"(63.0, 58.0)",[10.0],[590.0],[950.0],90.0,
"(60.0, 55.0)",[10.0],[20.0],[380.0],90.0,
"(60.0, 60.0)",[10.0],[683.0],[1043.0],90.0,
"(67.0, 85.0)",[20.0],[225.0],[585.0],90.0,
"(65.0, 85.0)",[40.0],[317.0],[677.0],90.0,
"(65.0, 82.0)",[10.0],[131.0],[491.0],90.0,
"(62.0, 80.0)",[30.0],[38.0],[398.0],90.0,
"(60.0, 80.0)",[10.0],[36.0],[396.0],90.0,
"(60.0, 85.0)",[30.0],[412.0],[772.0],90.0,
"(58.0, 75.0)",[20.0],[30.0],[390.0],90.0,
"(55.0, 80.0)",[10.0],[602.0],[962.0],90.0,
"(55.0, 85.0)",[20.0],[507.0],[867.0],90.0,
,,[1236.0],[1236.0],,
