Coordinates,Customer_demands,Earliest_service_time,Latest_service_time,Service_time,Vehicle_capacity
"(35.0, 35.0)",[0.0],[0.0],[1000.0],0.0,1000.0
"(41.0, 49.0)",[10.0],[0.0],[974.0],10.0,
"(35.0, 17.0)",[7.0],[0.0],[972.0],10.0,
"(55.0, 45.0)",[13.0],[0.0],[967.0],10.0,
"(55.0, 20.0)",[19.0],[620.0],[860.0],10.0,
"(15.0, 30.0)",[26.0],[0.0],[969.0],10.0,
"(25.0, 30.0)",[3.0],[345.0],[585.0],10.0,
"(20.0, 50.0)",[5.0],[0.0],[968.0],10.0,
"(10.0, 43.0)",[9.0],[323.0],[563.0],10.0,
"(55.0, 60.0)",[16.0],[329.0],[569.0],10.0,
"(30.0, 60.0)",[16.0],[485.0],[725.0],10.0,
"(20.0, 65.0)",[12.0],[146.0],[386.0],10.0,
"(50.0, 35.0)",[19.0],[0.0],[975.0],10.0,
"(30.0, 25.0)",[23.0],[639.0],[879.0],10.0,
"(15.0, 10.0)",[20.0],[32.0],[272.0],10.0,
"(30.0, 5.0)",[8.0],[118.0],[358.0],10.0,
"(10.0, 20.0)",[19.0],[203.0],[443.0],10.0,
"(5.0, 30.0)",[2.0],[682.0],[922.0],10.0,
"(20.0, 40.0)",[12.0],[286.0],[526.0],10.0,
"(15.0, 60.0)",[17.0],[204.0],[444.0],10.0,
"(45.0, 65.0)",[9.0],[504.0],[744.0],10.0,
"(45.0, 20.0)",[11.0],[0.0],[971.0],10.0,
"(45.0, 10.0)",[18.0],[332.0],[572.0],10.0,
"(55.0, 5.0)",[29.0],[146.0],[386.0],10.0,
"(65.0, 35.0)",[3.0],[656.0],[896.0],10.0,
"(65.0, 20.0)",[6.0],[716.0],[956.0],10.0,
"(45.0, 30.0)",[17.0],[0.0],[978.0],10.0,
"(35.0, 40.0)",[16.0],[60.0],[300.0],10.0,
"(41.0, 37.0)",[16.0],[65.0],[305.0],10.0,
"(64.0, 42.0)",[9.0],[132.0],[372.0],10.0,
"(40.0, 60.0)",[21.0],[187.0],[427.0],10.0,
"(31.0, 52.0)",[27.0],[0.0],[972.0],10.0,
"(35.0, 69.0)",[23.0],[599.0],[839.0],10.0,
"(53.0, 52.0)",[11.0],[24.0],[264.0],10.0,
"(65.0, 55.0)",[14.0],[0.0],[953.0],10.0,
"(63.0, 65.0)",[8.0],[630.0],[870.0],10.0,
"(2.0, 60.0)",[5.0],[41.0],[281.0],10.0,
"(20.0, 20.0)",[8.0],[0.0],[968.0],10.0,
"(5.0, 5.0)",[16.0],[234.0],[474.0],10.0,
"(60.0, 12.0)",[31.0],[33.0],[273.0],10.0,
"(40.0, 25.0)",[9.0],[279.0],[519.0],10.0,
"(42.0, 7.0)",[5.0],[334.0],[574.0],10.0,
"(24.0, 12.0)",[5.0],[25.0],[265.0],10.0,
"(23.0, 3.0)",[7.0],[543.0],[783.0],10.0,
"(11.0, 14.0)",[18.0],[167.0],[407.0],10.0,
"(6.0, 38.0)",[16.0],[29.0],[269.0],10.0,
"(2.0, 48.0)",[1.0],[452.0],[692.0],10.0,
"(8.0, 56.0)",[27.0],[48.0],[288.0],10.0,
"(13.0, 52.0)",[36.0],[0.0],[962.0],10.0,
"(6.0, 68.0)",[30.0],[401.0],[641.0],10.0,
"(47.0, 47.0)",[13.0],[0.0],[973.0],10.0,
"(49.0, 58.0)",[10.0],[281.0],[521.0],10.0,
"(27.0, 43.0)",[9.0],[0.0],[978.0],10.0,
"(37.0, 31.0)",[14.0],[332.0],[572.0],10.0,
"(57.0, 29.0)",[18.0],[568.0],[808.0],10.0,
"(63.0, 23.0)",[2.0],[560.0],[800.0],10.0,
"(53.0, 12.0)",[6.0],[519.0],[759.0],10.0,
"(32.0, 12.0)",[7.0],[356.0],[596.0],10.0,
"(36.0, 26.0)",[18.0],[740.0],[980.0],10.0,
"(21.0, 24.0)",[28.0],[0.0],[972.0],10.0,
"(17.0, 34.0)",[3.0],[672.0],[912.0],10.0,
"(12.0, 24.0)",[13.0],[214.0],[454.0],10.0,
"(24.0, 58.0)",[19.0],[113.0],[353.0],10.0,
"(27.0, 69.0)",[10.0],[34.0],[274.0],10.0,
"(15.0, 77.0)",[9.0],[154.0],[394.0],10.0,
"(62.0, 77.0)",[20.0],[49.0],[289.0],10.0,
"(49.0, 73.0)",[25.0],[523.0],[763.0],10.0,
"(67.0, 5.0)",[25.0],[228.0],[468.0],10.0,
"(56.0, 39.0)",[36.0],[575.0],[815.0],10.0,
"(37.0, 47.0)",[6.0],[108.0],[348.0],10.0,
"(37.0, 56.0)",[5.0],[728.0],[968.0],10.0,
"(57.0, 68.0)",[15.0],[198.0],[438.0],10.0,
"(47.0, 16.0)",[25.0],[0.0],[967.0],10.0,
