Coordinates,Customer_demands,Earliest_service_time,Latest_service_time,Service_time,Vehicle_capacity
"(40.0, 50.0)",[0.0],[0.0],[1236.0],0.0,200.0
"(45.0, 68.0)",[10.0],[885.0],[994.0],90.0,
"(45.0, 70.0)",[30.0],[802.0],[893.0],90.0,
"(42.0, 66.0)",[10.0],[25.0],[186.0],90.0,
"(42.0, 68.0)",[10.0],[699.0],[810.0],90.0,
"(42.0, 65.0)",[10.0],[15.0],[120.0],90.0,
"(40.0, 69.0)",[20.0],[580.0],[743.0],90.0,
"(40.0, 66.0)",[20.0],[142.0],[253.0],90.0,
"(38.0, 68.0)",[20.0],[220.0],[359.0],90.0,
"(38.0, 70.0)",[10.0],[499.0],[640.0],90.0,
"(35.0, 66.0)",[10.0],[331.0],[436.0],90.0,
"(35.0, 69.0)",[10.0],[420.0],[533.0],90.0,
"(25.0, 85.0)",[20.0],[617.0],[756.0],90.0,
"(22.0, 75.0)",[30.0],[30.0],[155.0],90.0,
"(22.0, 85.0)",[10.0],[541.0],[646.0],90.0,
"(20.0, 80.0)",[40.0],[362.0],[451.0],90.0,
"(20.0, 85.0)",[40.0],[448.0],[555.0],90.0,
"(18.0, 75.0)",[20.0],[75.0],[172.0],90.0,
"(15.0, 75.0)",[20.0],[142.0],[291.0],90.0,
"(15.0, 80.0)",[10.0],[244.0],[379.0],90.0,
"(30.0, 50.0)",[10.0],[10.0],[137.0],90.0,
"(30.0, 52.0)",[20.0],[888.0],[991.0],90.0,
"(28.0, 52.0)",[20.0],[776.0],[919.0],90.0,
"(28.0, 55.0)",[10.0],[709.0],[800.0],90.0,
"(25.0, 50.0)",[10.0],[25.0],[184.0],90.0,
"(25.0, 52.0)",[40.0],[142.0],[251.0],90.0,
"(25.0, 55.0)",[10.0],[582.0],[741.0],90.0,
"(23.0, 52.0)",[10.0],[234.0],[343.0],90.0,
"(23.0, 55.0)",[20.0],[523.0],[616.0],90.0,
"(20.0, 50.0)",[10.0],[335.0],[428.0],90.0,
"(20.0, 55.0)",[10.0],[422.0],[531.0],90.0,
"(10.0, 35.0)",[20.0],[181.0],[256.0],90.0,
"(10.0, 40.0)",[30.0],[31.0],[170.0],90.0,
"(8.0, 40.0)",[40.0],[52.0],[193.0],90.0,
"(8.0, 45.0)",[20.0],[719.0],[848.0],90.0,
"(5.0, 35.0)",[10.0],[252.0],[375.0],90.0,
"(5.0, 45.0)",[10.0],[639.0],[742.0],90.0,
"(2.0, 40.0)",[20.0],[357.0],[460.0],90.0,
"(0.0, 40.0)",[30.0],[457.0],[544.0],90.0,
"(0.0, 45.0)",[20.0],[538.0],[653.0],90.0,
"(35.0, 30.0)",[10.0],[236.0],[349.0],90.0,
"(35.0, 32.0)",[10.0],[132.0],[269.0],90.0,
"(33.0, 32.0)",[20.0],[27.0],[190.0],90.0,
"(33.0, 35.0)",[10.0],[16.0],[144.0],90.0,
"(32.0, 30.0)",[10.0],[332.0],[439.0],90.0,
"(30.0, 30.0)",[10.0],[512.0],[629.0],90.0,
"(30.0, 32.0)",[30.0],[417.0],[540.0],90.0,
"(30.0, 35.0)",[10.0],[982.0],[1127.0],90.0,
"(28.0, 30.0)",[10.0],[601.0],[724.0],90.0,
"(28.0, 35.0)",[10.0],[969.0],[1098.0],90.0,
"(26.0, 32.0)",[10.0],[783.0],[912.0],90.0,
"(25.0, 30.0)",[10.0],[695.0],[816.0],90.0,
"(25.0, 35.0)",[10.0],[883.0],[998.0],90.0,
"(44.0, 5.0)",[20.0],[255.0],[378.0],90.0,
"(42.0, 10.0)",[40.0],[150.0],[293.0],90.0,
"(42.0, 15.0)",[10.0],[63.0],[190.0],90.0,
"(40.0, 5.0)",[30.0],[359.0],[462.0],90.0,
"(40.0, 15.0)",[40.0],[35.0],[140.0],90.0,
"(38.0, 5.0)",[30.0],[439.0],[566.0],90.0,
