Coordinates,Customer_demands,Earliest_service_time,Latest_service_time,Service_time,Vehicle_capacity
"(40.0, 50.0)",[0.0],[0.0],[960.0],0.0,1000.0
"(25.0, 85.0)",[20.0],[0.0],[911.0],10.0,
"(22.0, 75.0)",[30.0],[0.0],[919.0],10.0,
"(22.0, 85.0)",[10.0],[0.0],[910.0],10.0,
"(20.0, 80.0)",[40.0],[644.0],[764.0],10.0,
"(20.0, 85.0)",[20.0],[0.0],[909.0],10.0,
"(18.0, 75.0)",[20.0],[0.0],[916.0],10.0,
"(15.0, 75.0)",[20.0],[0.0],[914.0],10.0,
"(15.0, 80.0)",[10.0],[367.0],[487.0],10.0,
"(10.0, 35.0)",[20.0],[371.0],[491.0],10.0,
"(10.0, 40.0)",[30.0],[0.0],[918.0],10.0,
"(8.0, 40.0)",[40.0],[195.0],[315.0],10.0,
"(8.0, 45.0)",[20.0],[0.0],[917.0],10.0,
"(5.0, 35.0)",[10.0],[653.0],[773.0],10.0,
"(5.0, 45.0)",[10.0],[0.0],[914.0],10.0,
"(2.0, 40.0)",[20.0],[174.0],[294.0],10.0,
"(0.0, 40.0)",[20.0],[0.0],[908.0],10.0,
"(0.0, 45.0)",[20.0],[0.0],[909.0],10.0,
"(44.0, 5.0)",[20.0],[0.0],[904.0],10.0,
"(42.0, 10.0)",[40.0],[0.0],[909.0],10.0,
"(42.0, 15.0)",[10.0],[0.0],[914.0],10.0,
"(40.0, 5.0)",[10.0],[0.0],[905.0],10.0,
"(40.0, 15.0)",[40.0],[0.0],[915.0],10.0,
"(38.0, 5.0)",[30.0],[201.0],[321.0],10.0,
"(38.0, 15.0)",[10.0],[0.0],[914.0],10.0,
"(35.0, 5.0)",[20.0],[784.0],[904.0],10.0,
"(95.0, 30.0)",[30.0],[0.0],[891.0],10.0,
"(95.0, 35.0)",[20.0],[0.0],[892.0],10.0,
"(92.0, 30.0)",[10.0],[0.0],[894.0],10.0,
"(90.0, 35.0)",[10.0],[0.0],[897.0],10.0,
"(88.0, 30.0)",[10.0],[0.0],[898.0],10.0,
"(88.0, 35.0)",[20.0],[0.0],[899.0],10.0,
"(87.0, 30.0)",[10.0],[0.0],[898.0],10.0,
"(85.0, 25.0)",[10.0],[0.0],[898.0],10.0,
"(85.0, 35.0)",[30.0],[0.0],[902.0],10.0,
"(67.0, 85.0)",[20.0],[0.0],[905.0],10.0,
"(65.0, 85.0)",[40.0],[0.0],[906.0],10.0,
"(65.0, 82.0)",[10.0],[0.0],[909.0],10.0,
"(62.0, 80.0)",[30.0],[278.0],[398.0],10.0,
"(60.0, 80.0)",[10.0],[0.0],[913.0],10.0,
"(60.0, 85.0)",[30.0],[0.0],[909.0],10.0,
"(58.0, 75.0)",[20.0],[0.0],[919.0],10.0,
"(55.0, 80.0)",[10.0],[0.0],[916.0],10.0,
"(55.0, 85.0)",[20.0],[0.0],[911.0],10.0,
"(55.0, 82.0)",[10.0],[217.0],[337.0],10.0,
"(20.0, 82.0)",[10.0],[0.0],[912.0],10.0,
"(18.0, 80.0)",[10.0],[0.0],[912.0],10.0,
"(2.0, 45.0)",[10.0],[0.0],[911.0],10.0,
"(42.0, 5.0)",[10.0],[0.0],[904.0],10.0,
"(42.0, 12.0)",[10.0],[0.0],[911.0],10.0,
"(72.0, 35.0)",[30.0],[0.0],[914.0],10.0,
"(55.0, 20.0)",[19.0],[0.0],[916.0],10.0,
"(25.0, 30.0)",[3.0],[0.0],[925.0],10.0,
"(20.0, 50.0)",[5.0],[375.0],[495.0],10.0,
"(55.0, 60.0)",[16.0],[0.0],[931.0],10.0,
"(30.0, 60.0)",[16.0],[599.0],[719.0],10.0,
"(50.0, 35.0)",[19.0],[0.0],[931.0],10.0,
"(30.0, 25.0)",[23.0],[0.0],[923.0],10.0,
"(15.0, 10.0)",[20.0],[782.0],[902.0],10.0,
"(10.0, 20.0)",[19.0],[0.0],[907.0],10.0,
"(15.0, 60.0)",[17.0],[0.0],[923.0],10.0,
"(45.0, 65.0)",[9.0],[0.0],[934.0],10.0,
"(65.0, 35.0)",[3.0],[167.0],[287.0],10.0,
"(65.0, 20.0)",[6.0],[0.0],[910.0],10.0,
"(45.0, 30.0)",[17.0],[0.0],[929.0],10.0,
"(35.0, 40.0)",[16.0],[0.0],[938.0],10.0,
"(41.0, 37.0)",[16.0],[0.0],[936.0],10.0,
"(64.0, 42.0)",[9.0],[268.0],[388.0],10.0,
"(40.0, 60.0)",[21.0],[0.0],[940.0],10.0,
"(31.0, 52.0)",[27.0],[157.0],[277.0],10.0,
"(35.0, 69.0)",[23.0],[0.0],[930.0],10.0,
"(65.0, 55.0)",[14.0],[0.0],[924.0],10.0,
"(63.0, 65.0)",[8.0],[0.0],[922.0],10.0,
"(2.0, 60.0)",[5.0],[0.0],[910.0],10.0,
"(20.0, 20.0)",[8.0],[645.0],[765.0],10.0,
"(5.0, 5.0)",[16.0],[0.0],[892.0],10.0,
"(60.0, 12.0)",[31.0],[268.0],[388.0],10.0,
"(23.0, 3.0)",[7.0],[764.0],[884.0],10.0,
"(8.0, 56.0)",[27.0],[0.0],[917.0],10.0,
"(6.0, 68.0)",[30.0],[352.0],[472.0],10.0,
"(47.0, 47.0)",[13.0],[0.0],[942.0],10.0,
"(49.0, 58.0)",[10.0],[0.0],[937.0],10.0,
"(27.0, 43.0)",[9.0],[0.0],[935.0],10.0,
"(37.0, 31.0)",[14.0],[0.0],[930.0],10.0,
"(57.0, 29.0)",[18.0],[395.0],[515.0],10.0,
"(63.0, 23.0)",[2.0],[0.0],[914.0],10.0,
"(21.0, 24.0)",[28.0],[0.0],[917.0],10.0,
"(12.0, 24.0)",[13.0],[359.0],[479.0],10.0,
"(24.0, 58.0)",[19.0],[0.0],[932.0],10.0,
"(67.0, 5.0)",[25.0],[0.0],[897.0],10.0,
"(37.0, 47.0)",[6.0],[0.0],[945.0],10.0,
"(49.0, 42.0)",[13.0],[0.0],[937.0],10.0,
"(53.0, 43.0)",[14.0],[14.0],[134.0],10.0,
"(61.0, 52.0)",[3.0],[0.0],[928.0],10.0,
"(57.0, 48.0)",[23.0],[0.0],[932.0],10.0,
"(56.0, 37.0)",[6.0],[0.0],[929.0],10.0,
"(55.0, 54.0)",[26.0],[0.0],[934.0],10.0,
"(4.0, 18.0)",[35.0],[0.0],[901.0],10.0,
"(26.0, 52.0)",[9.0],[0.0],[935.0],10.0,
"(26.0, 35.0)",[15.0],[308.0],[428.0],10.0,
"(31.0, 67.0)",[3.0],[810.0],[930.0],10.0,
,,[960.0],[960.0],,
