Coordinates,Customer_demands,Earliest_service_time,Latest_service_time,Service_time,Vehicle_capacity
"(35.0, 35.0)",[0.0],[0.0],[230.0],0.0,200.0
"(41.0, 49.0)",[10.0],[73.0],[204.0],10.0,
"(35.0, 17.0)",[7.0],[18.0],[147.0],10.0,
"(55.0, 45.0)",[13.0],[76.0],[165.0],10.0,
"(55.0, 20.0)",[19.0],[73.0],[195.0],10.0,
"(15.0, 30.0)",[26.0],[20.0],[167.0],10.0,
"(25.0, 30.0)",[3.0],[49.0],[158.0],10.0,
"(20.0, 50.0)",[5.0],[36.0],[135.0],10.0,
"(10.0, 43.0)",[9.0],[50.0],[149.0],10.0,
"(55.0, 60.0)",[16.0],[47.0],[156.0],10.0,
"(30.0, 60.0)",[16.0],[85.0],[172.0],10.0,
"(20.0, 65.0)",[12.0],[33.0],[152.0],10.0,
"(50.0, 35.0)",[19.0],[15.0],[133.0],10.0,
"(30.0, 25.0)",[23.0],[79.0],[208.0],10.0,
"(15.0, 10.0)",[20.0],[32.0],[187.0],10.0,
"(30.0, 5.0)",[8.0],[30.0],[152.0],10.0,
"(10.0, 20.0)",[19.0],[29.0],[139.0],10.0,
"(5.0, 30.0)",[2.0],[60.0],[189.0],10.0,
"(20.0, 40.0)",[12.0],[47.0],[136.0],10.0,
"(15.0, 60.0)",[17.0],[32.0],[146.0],10.0,
"(45.0, 65.0)",[9.0],[79.0],[182.0],10.0,
"(45.0, 20.0)",[11.0],[18.0],[136.0],10.0,
"(45.0, 10.0)",[18.0],[50.0],[153.0],10.0,
"(55.0, 5.0)",[29.0],[36.0],[155.0],10.0,
"(65.0, 35.0)",[3.0],[58.0],[190.0],10.0,
"(65.0, 20.0)",[6.0],[56.0],[186.0],10.0,
"(45.0, 30.0)",[17.0],[87.0],[186.0],10.0,
"(35.0, 40.0)",[16.0],[5.0],[140.0],10.0,
"(41.0, 37.0)",[16.0],[6.0],[136.0],10.0,
"(64.0, 42.0)",[9.0],[29.0],[150.0],10.0,
"(40.0, 60.0)",[21.0],[25.0],[132.0],10.0,
"(31.0, 52.0)",[27.0],[17.0],[138.0],10.0,
"(35.0, 69.0)",[23.0],[67.0],[186.0],10.0,
"(53.0, 52.0)",[11.0],[24.0],[161.0],10.0,
"(65.0, 55.0)",[14.0],[70.0],[173.0],10.0,
"(63.0, 65.0)",[8.0],[54.0],[178.0],10.0,
"(2.0, 60.0)",[5.0],[41.0],[178.0],10.0,
"(20.0, 20.0)",[8.0],[87.0],[190.0],10.0,
"(5.0, 5.0)",[16.0],[42.0],[153.0],10.0,
